city,lat,lng,population,density
Coachella,33.6905,-116.143,42123,586.1
Linton Hall,38.7551,-77.575,42089,1256.7
Peachtree Corners,33.967,-84.232,42065,1043.3
Woodlawn,39.3054,-76.7489,42053,1680.0
Pine Bluff,34.2116,-92.0173,41964,369.9
Spanish Fork,40.1101,-111.6405,41953,951.5
Annandale,38.8324,-77.196,41869,2078.0
Fitchburg,42.5912,-71.8156,41796,563.1
Kearny,40.7528,-74.1202,41790,1798.2
Maplewood,44.9842,-93.0247,41673,921.7
Mableton,33.8133,-84.5655,41632,777.7
Schertz,29.565,-98.2535,41607,510.9
Newnan,33.3767,-84.7761,41598,797.5
Clermont,28.5325,-81.7208,41562,785.6
North Fort Myers,26.7244,-81.8485,41551,331.0
Marlborough,42.3494,-71.5468,41505,734.0
Vineyard,38.474,-121.324,41505,819.6
Coram,40.8812,-73.0059,41431,1134.6
Bartlett,41.9804,-88.2071,41126,1004.0
Hollister,36.8555,-121.3986,41077,1944.5
Bullhead City,35.1205,-114.5461,41064,265.4
Lancaster,32.5922,-96.7739,41057,458.5
Grove City,39.8654,-83.069,41025,907.0
Marion,42.0451,-91.585,41023,865.5
Brookfield,43.064,-88.1231,41020,546.1
Delaware,40.2851,-83.0741,41004,808.8
Hallandale Beach,25.9854,-80.1423,41004,3646.6
Woburn,42.4869,-71.1543,40967,1230.0
Columbia,35.6238,-87.0484,40957,459.4
Germantown,35.0829,-89.7824,40955,757.2
Shelton,41.306,-73.1383,40944,518.8
Covington,39.0334,-84.5166,40930,1183.9
Westfield,42.1382,-72.7561,40922,344.7
Friendswood,29.511,-95.1981,40780,742.0
The Acreage,26.774,-80.2779,40771,449.1
Essex,39.3021,-76.4449,40710,1639.0
Culver City,34.0058,-118.3968,40640,2939.2
Annapolis,38.9706,-76.5047,40581,2106.8
Duncanville,32.646,-96.9127,40575,1347.5
Cedar Falls,42.5195,-92.4536,40500,534.6
Milton,34.1353,-84.3139,40487,393.6
Weslaco,26.1599,-97.9877,40393,968.9
Lake Oswego,45.4129,-122.7004,40390,1409.3
Lancaster,39.7248,-82.6049,40360,823.2
Findlay,41.0469,-83.6379,40323,807.8
Valley Stream,40.6647,-73.7043,40304,4162.0
New Berlin,42.9726,-88.1291,40289,421.8
Hutchinson,38.0671,-97.9081,40202,638.8
Holly Springs,35.6526,-78.8399,40198,814.6
French Valley,33.5999,-117.1069,40188,1386.9
Security-Widefield,38.7489,-104.7142,40158,1157.4
Hurst,32.8353,-97.1809,40114,1502.8
Romeoville,41.6318,-88.0997,40099,800.2
Crystal Lake,42.2333,-88.3351,40082,810.0
Chelsea,42.3959,-71.0325,40025,6939.7
Waipahu,21.3859,-158.0101,39927,5518.4
Clinton,38.7499,-76.9063,39925,582.9
Meadow Woods,28.3698,-81.3467,39904,1362.6
Carol Stream,41.9181,-88.1307,39895,1670.0
Brighton,39.9716,-104.7963,39895,695.9
Bell Gardens,33.9663,-118.155,39870,6558.7
Waxahachie,32.4035,-96.8446,39815,286.5
Reynoldsburg,39.9588,-82.7943,39803,1295.7
Lincoln Park,42.2432,-83.1811,39741,2416.3
Streamwood,42.0209,-88.1779,39736,1976.3
Aventura,25.9566,-80.1371,39734,5416.6
Fort Lee,40.8509,-73.9713,39701,5803.5
Quincy,39.9336,-91.3799,39687,982.4
San Gabriel,34.0949,-118.099,39673,3737.1
Valrico,27.9193,-82.2293,39632,1125.6
Indian Trail,35.0699,-80.6452,39603,683.8
Park Ridge,42.0125,-87.8436,39562,2039.1
Hobbs,32.7281,-103.16,39476,562.6
Cape Girardeau,37.3109,-89.5597,39415,531.9
Oviedo,28.658,-81.1872,39405,1021.4
Warren,41.239,-80.8174,39334,942.8
Plant City,28.014,-82.1201,39272,540.1
Urbana,40.1107,-88.1973,39189,1385.8
Olive Branch,34.961,-89.8469,39136,397.0
Keizer,45.0028,-123.0243,39119,2117.6
Severna Park,39.087,-76.5687,39108,904.5
Wheeling,42.1308,-87.924,39104,1722.3
Roy,41.1714,-112.0485,39076,1862.6
Issaquah,47.5439,-122.0471,39057,1232.1
Westerville,40.1241,-82.921,38960,1238.9
Grants Pass,42.4333,-123.3317,38902,1271.7
Lynnwood,47.8284,-122.3033,38812,1889.1
Calexico,32.6849,-115.4944,38798,1784.6
Mission Bend,29.6948,-95.6658,38772,3134.2
Royal Palm Beach,26.7038,-80.2241,38697,1348.3
Land O' Lakes,28.2075,-82.4476,38674,788.8
Bettendorf,41.5657,-90.4765,38631,656.4
Pacifica,37.6113,-122.4782,38595,1186.4
Cottage Grove,44.8161,-92.9274,38582,426.0
Clovis,34.4376,-103.1923,38505,632.5
Vestavia Hills,33.4518,-86.7437,38504,664.8
La Presa,32.711,-117.0027,38492,2627.4
Holyoke,42.2125,-72.6411,38480,732.5
Evans,33.5619,-82.1351,38452,587.5
La Puente,34.0323,-117.9533,38447,4415.2
Apache Junction,33.3985,-111.535,38311,460.9
Menomonee Falls,43.1487,-88.1227,38219,441.3
Phenix City,32.4585,-85.0253,38216,500.3
Stanton,33.8003,-117.9935,38167,4770.9
Post Falls,47.7213,-116.9384,38162,834.8
La Vergne,36.02,-86.5586,38127,555.5
Parkland,47.1417,-122.4376,38092,1695.1
East Meadow,40.7197,-73.5604,38078,2327.3
Mount Juliet,36.199,-86.5115,38059,542.1
Hot Springs,34.4892,-93.0501,38050,398.9
Winter Springs,28.6889,-81.2703,38021,957.8
Monrovia,34.165,-117.9921,37999,1066.0
Prattville,32.4597,-86.4573,37977,399.1
Carpentersville,42.1227,-88.2896,37940,1842.4
West Fargo,46.8573,-96.9057,37913,869.9
Northglenn,39.9108,-104.9783,37899,2056.3
East Point,33.6696,-84.4701,37895,920.8
Tupelo,34.2692,-88.7318,37872,229.4
Rosenberg,29.5456,-95.8223,37871,391.9
Montclair,34.0715,-117.6981,37871,2795.2
Peachtree City,33.3942,-84.571,37867,550.6
La Quinta,33.6536,-116.2785,37846,456.1
Mechanicsville,37.6263,-77.3561,37767,506.1
Sun City,33.6165,-112.2819,37693,1041.2
Richmond West,25.6105,-80.4297,37626,3435.8
Greenfield,42.9619,-88.0052,37623,1242.8
Owasso,36.2878,-95.8311,37559,826.1
Hanover Park,41.9818,-88.1446,37545,2273.3
Portage,41.5856,-87.1797,37540,551.9
Rock Island,41.4699,-90.5827,37519,861.7
Lebanon,36.204,-86.3481,37471,338.4
Foothill Farms,38.6867,-121.3475,37432,3282.5
New Albany,38.309,-85.8234,37350,918.6
Martinez,37.9985,-122.1161,37308,1172.3
Riviera Beach,26.7813,-80.0741,37301,1633.5
Adelanto,34.5814,-117.4397,37229,250.1
Pleasant Grove,40.3716,-111.7412,37228,1614.9
Leavenworth,39.3239,-94.924,37216,572.9
Muskogee,35.7432,-95.3567,37214,335.7
Oregon City,45.3418,-122.5924,37160,1424.0
Bartlesville,36.7365,-95.9456,37074,625.3
Saratoga Springs,40.345,-111.9154,36977,523.1
Kendall West,25.7065,-80.4388,36964,5335.8
Richfield,44.8763,-93.2829,36899,2065.2
Kearns,40.6519,-112.0095,36842,3039.8
Tucker,33.8436,-84.2024,36764,693.3
Elmont,40.7033,-73.7078,36741,4104.3
Franklin,42.8854,-88.0104,36685,402.2
Oakton,38.8887,-77.3016,36675,1442.1
Lewiston,44.0915,-70.1681,36615,408.9
South Valley,35.0093,-106.6819,36583,520.9
Beloit,42.523,-89.0184,36567,819.9
Upper Arlington,40.0272,-83.0704,36566,1394.4
DeLand,29.0225,-81.2875,36528,673.3
Temple City,34.1022,-118.0579,36526,3442.3
Wildomar,33.6173,-117.2582,36511,587.9
Chillum,38.9666,-76.9791,36428,3919.4
Princeton,25.5396,-80.3971,36381,1851.2
Claremont,34.1259,-117.7153,36312,1031.1
Winchester,36.1365,-115.137,36307,2826.8
Central Islip,40.7836,-73.1945,36292,1812.7
Georgetown,38.2247,-84.5487,36281,781.2
Oak Creek,42.8803,-87.9009,36266,493.0
Commack,40.8435,-73.2833,36252,1163.3
South Miami Heights,25.5886,-80.3862,36239,2807.2
Moorpark,34.2861,-118.8768,36201,1146.1
Merrillville,41.4728,-87.3196,36196,405.1
Estero,26.4276,-81.7951,36187,530.0
Egypt Lake-Leto,28.0177,-82.5062,36157,2468.7
Roseville,45.0155,-93.1545,36119,1071.7
Dunedin,28.0329,-82.7862,36110,1353.1
Farmers Branch,32.9272,-96.8804,36091,1386.3
Calumet City,41.6134,-87.5505,36065,1943.4
Marion,40.5973,-83.1227,36053,1072.5
Addison,41.9313,-88.0085,35999,1442.2
Buenaventura Lakes,28.3349,-81.3539,35922,2431.2
Westmont,33.9417,-118.3018,35913,7355.3
Lauderdale Lakes,26.1682,-80.2017,35898,3782.9
Richmond,39.8318,-84.8905,35854,570.5
Carrollwood,28.0577,-82.5148,35846,1479.9
Olney,39.1465,-77.0715,35815,843.5
Orangevale,38.6881,-121.2209,35729,1181.1
West Hollywood,34.0883,-118.3719,35678,7263.0
Randallstown,39.3723,-76.8024,35641,1347.0
Gahanna,40.0251,-82.8637,35626,1100.7
Meridian,32.3846,-88.6896,35625,267.6
Norristown,40.1225,-75.3398,35607,3777.5
Manhattan Beach,33.8894,-118.3967,35585,3441.2
La Porte,29.6689,-95.0484,35566,733.5
Inver Grove Heights,44.8247,-93.0596,35539,492.0
Hilliard,40.0353,-83.1578,35530,1001.6
Sun Prairie,43.1825,-89.2362,35528,1015.5
Copperas Cove,31.1192,-97.914,35452,705.9
Torrington,41.8349,-73.1282,35447,332.7
El Mirage,33.5905,-112.3271,35410,1392.7
Wildwood,38.58,-90.6698,35384,205.5
San Juan,26.1903,-98.152,35384,1217.3
Oakville,38.4479,-90.3199,35357,878.3
San Juan Capistrano,33.5008,-117.6544,35319,962.6
Midvale,40.6148,-111.8927,35313,2200.6
San Luis,32.4911,-114.7089,35289,384.4
Brunswick,41.2465,-81.8198,35272,1037.4
Salisbury,35.6658,-80.4905,35258,600.1
Tooele,40.5393,-112.3082,35223,564.6
Watertown Town,42.37,-71.1774,35171,3454.0
Owings Mills,39.4115,-76.7913,35170,1405.9
Greer,34.933,-82.2313,35151,528.5
Lake Stevens,48.0024,-122.0953,35135,1409.8
Northbrook,42.1292,-87.8352,35108,968.6
College Park,38.996,-76.9337,34961,2217.0
University City,38.6657,-90.3315,34953,2256.0
North Ridgeville,41.3852,-82.0195,34883,559.3
Del Rio,29.3708,-100.8801,34831,676.8
Fair Lawn,40.9359,-74.1177,34820,2480.2
Long Beach,40.5887,-73.666,34820,5828.1
Goshen,41.5743,-85.8309,34792,759.8
San Dimas,34.1082,-117.809,34775,868.5
Springville,40.1638,-111.6205,34750,892.8
Benton,34.5776,-92.5713,34746,613.5
Hinesville,31.8248,-81.6137,34733,702.3
Socorro,31.6383,-106.2601,34687,603.9
Spanaway,47.0979,-122.4233,34670,1491.3
Richmond,37.7307,-84.2925,34662,679.1
Pleasant Hill,37.9539,-122.0759,34649,1904.7
University Place,47.2147,-122.5461,34565,1558.4
Stow,41.1765,-81.4344,34556,785.7
Kaneohe,21.4062,-157.7904,34509,1979.3
Montgomery Village,39.1788,-77.1954,34489,3422.7
Fruit Cove,30.0972,-81.6175,34469,791.6
Monroe,35.0063,-80.5596,34464,441.3
Fair Oaks,38.8653,-77.3586,34437,2665.6
Douglasville,33.7384,-84.7054,34410,556.3
Fairborn,39.801,-84.0094,34398,886.6
Butte,45.902,-112.6571,34368,18.5
Dakota Ridge,39.6192,-105.1344,34361,1425.0
Oildale,35.4293,-119.0306,34350,1734.0
Mason,39.3571,-84.3023,34337,673.4
Oswego,41.6834,-88.3372,34324,919.9
Gadsden,34.0086,-86.0157,34317,363.3
Plainfield,39.6954,-86.3716,34311,508.3
Manitowoc,44.0991,-87.6812,34267,707.0
Lufkin,31.3217,-94.7277,34264,398.8
Cedar City,37.6834,-113.0956,34246,358.4
Deer Park,29.6898,-95.1151,34240,1234.8
McMinnville,45.211,-123.1918,34224,1257.9
Woodridge,41.737,-88.0409,34161,1340.7
Eastpointe,42.4657,-82.9461,34148,2412.1
Prairieville,30.3151,-90.9571,34118,583.2
New City,41.1542,-73.9912,34118,850.5
Cookeville,36.1482,-85.5109,34068,366.2
Huntington Station,40.8446,-73.405,34050,2370.1
Westlake,41.4524,-81.9294,34049,779.2
Merritt Island,28.3139,-80.6708,34013,772.9
Lewiston,46.3934,-116.9933,33964,732.2
Golden Glades,25.9129,-80.2013,33930,2704.2
Bell,33.9801,-118.1798,33915,5434.4
Midlothian,32.4669,-96.989,33914,191.6
Ken Caryl,39.577,-105.1144,33889,1327.8
Cooper City,26.0463,-80.2862,33867,1715.5
Woodstock,34.1026,-84.5091,33857,993.3
Martinez,33.5209,-82.0985,33829,929.3
South Riding,38.912,-77.5132,33828,1834.8
Valparaiso,41.4783,-87.0506,33820,795.3
Parkland,26.3219,-80.2533,33772,1015.3
Walla Walla,46.0671,-118.3368,33765,909.7
Leawood,38.9075,-94.6258,33748,887.0
Graham,47.0322,-122.2827,33727,294.0
Rexburg,43.8226,-111.7919,33684,1115.5
Menlo Park,37.4685,-122.1673,33677,1360.9
Cottonwood Heights,40.6137,-111.8144,33597,1416.6
Kearney,40.7011,-99.0833,33558,881.8
Pikesville,39.3893,-76.702,33549,1027.7
Sahuarita,31.9323,-110.9654,33524,373.9
Crown Point,41.4143,-87.3457,33518,654.0
Foster City,37.5553,-122.2659,33511,3370.0
Timberwood Park,29.6995,-98.4838,33506,473.8
Englewood,39.6468,-104.9942,33500,2050.3
Glendale Heights,41.9196,-88.0785,33443,2428.0
Bethel Park,40.3238,-80.0364,33356,1066.1
Baldwin,40.6511,-73.6075,33352,3091.4
Dana Point,33.4733,-117.6967,33327,2010.3
Los Gatos,37.2304,-121.9562,33309,1067.8
Brooklyn Center,45.0681,-93.3162,33298,1483.7
West Little River,25.8571,-80.2367,33284,2718.7
Petersburg,37.2043,-77.3913,33229,523.2
Goldsboro,35.3778,-77.9717,33214,467.4
Redmond,44.2612,-121.181,33160,663.2
Fuquay-Varina,35.5953,-78.7778,33135,638.0
Alabaster,33.2198,-86.8225,33133,508.0
Gillette,44.2752,-105.4982,33047,541.5
Kennesaw,34.026,-84.6177,33036,1360.4
Fallbrook,33.3693,-117.2259,32999,712.3
Pueblo West,38.3465,-104.7246,32991,255.2
Pullman,46.7336,-117.168,32968,1200.3
Spring Valley,41.1151,-74.0486,32953,6209.4
St. Charles,41.9193,-88.3109,32908,873.9
Beverly Hills,34.0786,-118.4021,32903,2280.2
Spring Valley,32.7317,-116.9766,32860,1675.8
American Fork,40.3783,-111.7953,32822,1087.7
Chester,39.8456,-75.3718,32819,2704.4
Uniondale,40.7176,-73.5947,32791,2205.3
Elk Grove Village,42.0064,-87.9921,32763,1079.8
East Lake,28.1206,-82.6868,32714,436.5
Redan,33.7394,-84.1644,32712,1664.5
Goleta,34.4361,-119.8594,32677,1580.3
Des Moines,47.3914,-122.3156,32631,1926.0
Sherwood,34.8507,-92.2029,32544,581.2
Kiryas Joel,41.3411,-74.1667,32498,6843.8
Garfield,40.8791,-74.1085,32481,5801.9
Andover,45.2571,-93.3265,32471,376.4
Kaysville,41.029,-111.9456,32438,1174.9
Statesboro,32.4375,-81.7751,32400,826.9
Pekin,40.5678,-89.6251,32398,805.5
Franklin Square,40.7002,-73.6775,32381,4228.1
North Olmsted,41.4149,-81.919,32371,1044.0
Nacogdoches,31.6134,-94.6528,32347,460.3
Canton,34.2467,-84.4897,32342,620.6
Wheat Ridge,39.7728,-105.1028,32340,1317.7
Harker Heights,31.0572,-97.6446,32320,782.1
Rochester,43.299,-70.9787,32317,268.5
Rome,43.226,-75.4909,32309,166.2
Juneau,58.4546,-134.1739,32240,4.6
Kingman,35.217,-114.0105,32204,312.9
Massillon,40.7838,-81.5254,32199,661.2
Savage,44.7545,-93.3632,32092,786.0
Helena,46.5965,-112.0202,32060,748.8
Lawndale,33.8884,-118.3531,32035,6369.2
Desert Hot Springs,33.955,-116.5429,31988,373.5
Centereach,40.8681,-73.0821,31979,1347.9
San Pablo,37.9629,-122.3426,31975,4554.7
Windsor,40.469,-104.9198,31972,356.7
O'Fallon,38.5974,-89.9148,31963,730.1
Marrero,29.8871,-90.1126,31928,1702.8
West Odessa,31.8389,-102.5003,31927,162.3
Bangor,44.8323,-68.7906,31920,361.0
Ithaca,42.4442,-76.5032,31819,2200.7
Clearfield,41.103,-112.0238,31802,1585.6
Springfield,38.781,-77.1839,31769,1622.1
Fair Oaks,38.6504,-121.2496,31750,1096.3
Holladay,40.66,-111.8226,31738,1383.5
Long Branch,40.2965,-73.9915,31734,2292.3
Syracuse,41.0859,-112.0698,31715,1150.4
Dania Beach,26.0593,-80.1637,31703,1584.1
Florence,38.9899,-84.6471,31699,1180.5
Mundelein,42.2693,-88.0102,31596,1271.7
Naugatuck,41.489,-73.0518,31586,735.3
Pasadena,39.1552,-76.5537,31583,761.3
Los Altos,37.3684,-122.0965,31562,1823.0
Carlsbad,32.401,-104.2388,31525,358.7
Aiken,33.5303,-81.7271,31516,572.4
Duluth,34.0053,-84.1492,31506,1115.9
Laramie,41.3099,-105.6085,31501,683.8
Cibolo,29.5634,-98.2115,31489,557.8
Bay Shore,40.7288,-73.2495,31488,2163.6
La Verne,34.1207,-117.7703,31423,1482.9
Laguna Hills,33.5918,-117.6991,31409,1863.9
Atwater,37.3529,-120.5959,31401,1783.6
Newark,39.6776,-75.7576,31393,1385.2
Port Chester,41.0051,-73.668,31317,4844.2
Maryville,35.7468,-83.9789,31281,655.7
Shawnee,35.3531,-96.9647,31237,277.6
Lake Magdalene,28.0875,-82.4791,31211,1218.0
Sterling,39.0052,-77.405,31202,2185.7
Alamogordo,32.8837,-105.9625,31201,571.0
Saratoga,37.2684,-122.0263,31194,939.1
Oceanside,40.6328,-73.6364,31182,2337.8
North Royalton,41.3138,-81.745,31150,544.6
Burlingame,37.5859,-122.3667,31142,2642.9
Lakeside,30.1356,-81.7674,31125,891.4
Oak Ridge,35.9639,-84.2938,31087,131.9
Nicholasville,37.8906,-84.5668,31066,798.3
New Bern,35.0955,-77.0723,31058,407.1
LaGrange,33.0274,-85.0384,31053,279.4
West Falls Church,38.8648,-77.1878,31023,2418.1
Ballwin,38.595,-90.55,30998,1298.3
Cleburne,32.3568,-97.4151,30984,367.8
Niles,42.0278,-87.8099,30971,1927.7
Bel Air North,39.5543,-76.3732,30969,740.9
Westfield,40.6516,-74.3432,30950,1704.8
Orcutt,34.8691,-120.4222,30940,1118.5
Cornelius,35.4724,-80.8813,30925,910.2
SeaTac,47.4444,-122.2986,30867,1116.5
Garner,35.6936,-78.6181,30859,707.3
Gurnee,42.3708,-87.9392,30826,872.3
Opelika,32.6612,-85.3769,30810,193.1
Parkville,39.3832,-76.5519,30783,2744.7
Hopkinsville,36.8381,-87.4775,30771,376.7
Southlake,32.9545,-97.1503,30754,560.3
San Carlos,37.4982,-122.2677,30754,2115.1
Santa Paula,34.3545,-119.0656,30741,2115.3
Princeton,40.3562,-74.6693,30717,670.4
Bowling Green,41.3776,-83.6495,30715,950.3
Milford Mill,39.3444,-76.7668,30685,1687.6
Canyon Lake,29.8761,-98.2611,30641,71.3
North Chicago,42.3172,-87.8595,30619,1447.1
Middle River,39.3436,-76.4253,30606,897.8
Drexel Heights,32.1453,-111.048,30599,617.5
North Tonawanda,43.0457,-78.8659,30592,1160.6
Miami Lakes,25.9125,-80.3214,30582,2117.2
Ferry Pass,30.5205,-87.1899,30526,888.9
San Lorenzo,37.6733,-122.1332,30420,3818.0
Granger,41.7374,-86.1348,30394,477.1
Morristown,36.2043,-83.3001,30387,417.7
Weatherford,32.7536,-97.7723,30385,454.0
Northport,33.2586,-87.5993,30334,573.4
Lawrenceville,33.9523,-83.9932,30299,849.6
Galesburg,40.9506,-90.3763,30298,661.1
Zionsville,39.9897,-86.3182,30258,161.0
Highland Park,42.1823,-87.8104,30245,933.4
Austintown,41.0932,-80.7405,30179,979.2
Greenville,33.385,-91.0514,30175,428.6
Liberty,39.2394,-94.4191,30129,425.3
Middletown,41.4459,-74.4236,30086,2039.0
Sanford,35.4875,-79.177,30024,388.6
Monterey,36.5919,-121.8808,30014,1276.2
East Lake-Orient Park,27.997,-82.3653,30002,726.4
Southgate,42.2047,-83.2057,29990,1636.0
Eastern Goleta Valley,34.4448,-119.7879,29983,693.9
Chamblee,33.8842,-84.3007,29894,1499.3
Raytown,38.9944,-94.4641,29893,1134.5
East Palo Alto,37.4671,-122.1352,29888,4497.7
Carney,39.405,-76.5235,29873,1632.6
Algonquin,42.1629,-88.3159,29869,982.2
Bella Vista,36.4667,-94.2707,29818,245.6
Gloucester,42.626,-70.6897,29814,446.4
Crofton,39.0144,-76.68,29812,1721.7
Atascadero,35.4827,-120.6858,29771,450.9
Central,30.5593,-91.0369,29746,181.3
Oak Park,42.4649,-83.1824,29677,2209.0
New Smyrna Beach,29.0249,-80.9652,29674,278.0
Winter Park,28.5989,-81.3442,29672,1355.4
Eagle,43.7223,-116.3866,29665,350.3
Banning,33.946,-116.8992,29664,503.1
Garfield Heights,41.4199,-81.6038,29585,1477.9
Rahway,40.6077,-74.2807,29582,2942.3
Melrose,42.4556,-71.059,29567,2312.7
Danville,40.1426,-87.6111,29534,669.7
Burton,42.9974,-83.6175,29532,472.7
Hobart,41.514,-87.2729,29516,414.5
Fleming Island,30.0988,-81.7124,29505,745.5
Fountain,38.6886,-104.6829,29495,523.6
Texarkana,33.436,-93.9959,29492,274.7
Laurel,39.0949,-76.8622,29438,2063.7
Suisun City,38.2473,-122.0091,29436,2839.7
Fridley,45.0841,-93.2595,29422,1055.7
Matthews,35.1195,-80.7101,29417,737.3
Lakewood Ranch,27.4185,-82.3948,29408,222.1
Jacksonville,34.8807,-92.1304,29385,383.3
Schererville,41.4861,-87.4442,29381,729.6
Northampton,42.3266,-72.6745,29379,321.9
Erie,40.0404,-105.0399,29367,510.9
Fitchburg,42.9859,-89.4255,29361,332.1
Hazleton,40.9505,-75.9725,29339,1603.6
Paragould,36.0555,-90.5149,29327,349.3
Burbank,41.7444,-87.7686,29312,2634.1
Seguin,29.5891,-97.9676,29293,293.0
Bethany,45.5614,-122.837,29277,1989.9
Golden Gate,26.1844,-81.7031,29271,3003.7
Kirkwood,38.5788,-90.4203,29233,1168.7
Shaker Heights,41.4744,-81.5496,29197,1666.1
Perry Hall,39.4068,-76.478,29165,1546.0
Englewood,40.8917,-73.9736,29129,2225.5
Laplace,30.0731,-90.4758,29129,540.1
Magna,40.7634,-112.1599,29128,690.8
East Niles,35.3683,-118.9225,29110,2114.3
Russellville,35.2762,-93.1383,29057,398.7
Lake in the Hills,42.1913,-88.3477,29024,1082.9
Lansing,41.5648,-87.5462,28916,1428.8
Summerlin South,36.1242,-115.3324,28861,1144.8
New Iberia,30.0049,-91.8202,28844,1003.8
Prosper,33.2394,-96.8087,28825,396.7
Morrisville,35.8368,-78.8348,28824,1206.2
Jamestown,42.0976,-79.2367,28818,1270.7
Oakleaf Plantation,30.1689,-81.8337,28808,661.8
Jeffersontown,38.2049,-85.5701,28800,1020.0
Casselberry,28.6624,-81.3217,28750,1579.2
Madison Heights,42.5073,-83.1034,28719,1634.6
Mehlville,38.5018,-90.3149,28672,1489.4
Walnut,34.0334,-117.8593,28641,1278.4
Harrison,41.0236,-73.7193,28635,653.2
Monroeville,40.4262,-79.7605,28607,539.8
McDonough,33.4397,-84.1505,28574,768.2
Stockbridge,33.5254,-84.2295,28567,829.9
Drexel Hill,39.9495,-75.3038,28538,3371.5
Glen Ellyn,41.8666,-88.0629,28506,1563.6
Aberdeen,45.4649,-98.4686,28500,661.9
Frankfort,38.1924,-84.8643,28479,724.2
Allen Park,42.2595,-83.2107,28431,1495.3
Brownsburg,39.8337,-86.383,28420,630.4
Orchards,45.689,-122.5306,28371,1896.2
Eagle Pass,28.7125,-100.484,28367,1201.1
Forest Hills,42.9577,-85.4895,28327,224.7
Bergenfield,40.9236,-73.9982,28282,3639.5
Independence,38.951,-84.5492,28256,618.1
Enterprise,31.3275,-85.8463,28242,351.3
Henderson,37.8397,-87.5798,28201,682.2
Glen Cove,40.8709,-73.6287,28187,1575.7
Maryland Heights,38.7189,-90.4749,28141,476.4
Greenville,33.1116,-96.1099,28128,335.9
Ewa Gentry,21.3344,-158.0262,28125,4780.3
Belmont,37.5154,-122.2953,28109,2248.7
Bixby,35.9454,-95.8776,28091,423.2
Lathrop,37.809,-121.3131,28078,464.7
Shirley,40.7936,-72.8748,28059,977.4
Garden City,37.9753,-100.8527,28022,934.4
Oakdale,44.9876,-92.9641,28019,983.7
South Laurel,39.0603,-76.8456,27998,1320.1
Ridgecrest,35.6308,-117.6622,27989,535.0
Mililani Town,21.4465,-158.0147,27974,2644.3
Millville,39.3903,-75.0561,27946,252.7
Kahului,20.8715,-156.4603,27938,805.0
Reisterstown,39.455,-76.814,27917,2108.3
Kent,41.149,-81.361,27912,1243.3
Williamsport,41.2399,-77.037,27908,1250.9
Dodge City,37.7611,-100.0182,27899,713.3
Wilmette,42.0771,-87.7282,27895,1937.7
Easton,40.6858,-75.2209,27860,2470.0
Chicago Heights,41.51,-87.6345,27840,1111.4
Clinton,32.354,-90.3403,27830,228.7
Tualatin,45.3772,-122.7748,27821,1271.2
Statesville,35.7842,-80.8713,27777,417.2
Marion,40.5497,-85.6604,27757,682.8
Washington,37.1303,-113.4878,27689,312.8
Immokalee,26.4253,-81.4251,27669,476.8
Maple Valley,47.3659,-122.0368,27643,1719.4
Bluffton,32.2135,-80.9316,27596,172.2
New London,41.3502,-72.1022,27585,1854.7
Mount Pleasant,42.7129,-87.8876,27572,307.8
Marshalltown,42.0343,-92.9068,27570,542.3
West Islip,40.7041,-73.2954,27557,1686.3
Hamtramck,42.3954,-83.0559,27548,4009.9
Temescal Valley,33.7581,-117.4677,27546,567.3
Lemon Grove,32.7331,-117.0344,27513,2661.7
Ilchester,39.2187,-76.7683,27513,964.7
Wasco,35.5938,-119.3671,27505,1133.2
Rockledge,28.3203,-80.736,27466,810.2
Chaska,44.8164,-93.6091,27461,606.7
Madison,32.4738,-90.13,27459,392.1
Oak Forest,41.6054,-87.7527,27445,1757.1
Citrus Park,28.073,-82.5628,27440,1038.3
Ramsey,45.2617,-93.4494,27409,364.0
Mason City,43.1487,-93.1997,27385,375.1
Balch Springs,32.7194,-96.6151,27369,1074.9
Williston,48.1814,-103.6364,27368,463.0
Converse,29.5091,-98.3084,27361,1127.6
Monsey,41.1181,-74.0682,27359,3996.9
Clarksburg,39.2246,-77.2659,27354,1049.8
Granite City,38.7296,-90.1268,27336,579.7
Short Pump,37.6549,-77.6201,27332,1179.2
Huntley,42.1599,-88.433,27314,740.7
Garden City,42.3244,-83.3412,27268,1749.5
Green,40.9483,-81.4757,27267,310.2
Fremont,41.4395,-96.4873,27245,942.9
Prior Lake,44.7246,-93.4419,27242,634.2
McHenry,42.3387,-88.2932,27237,714.2
Neenah,44.1669,-88.4767,27194,1074.5
Benicia,38.0725,-122.1526,27191,848.5
Twentynine Palms,34.1478,-116.0659,27176,175.8
West Linn,45.367,-122.6399,27173,1391.5
Lindenhurst,40.6858,-73.371,27169,2770.4
Plum,40.5024,-79.7495,27123,366.7
Daphne,30.6263,-87.8816,27088,540.3
Pearl,32.273,-90.0918,27017,400.9
Lochearn,39.3461,-76.7307,26995,1768.9
Alvin,29.3872,-95.2938,26982,422.4
Hutto,30.5396,-97.544,26971,822.0
Holbrook,40.7944,-73.07,26958,1446.9
New Lenox,41.5095,-87.9703,26942,657.6
Thomasville,35.8813,-80.0807,26941,617.8
Crestview,30.7477,-86.5785,26934,559.6
Sun City Center,27.715,-82.3569,26920,640.4
Auburn,42.9338,-76.5685,26913,1222.1
Shoreview,45.0842,-93.1358,26871,965.5
South Pasadena,34.1103,-118.1573,26837,2885.7
