city,lat,lng,population,density
Corpus Christi,27.7254,-97.3767,333764,777.0
Fort Wayne,41.0888,-85.1436,330305,935.5
Fayetteville,35.085,-78.9772,328827,550.0
Ann Arbor,42.2759,-83.731,327814,1658.0
Jackson,32.3157,-90.2125,326977,566.0
Antioch,37.9787,-121.796,322796,1475.4
Mobile,30.6782,-88.1162,322079,525.9
Lexington,38.0423,-84.4587,321354,438.6
Asheville,35.5707,-82.5537,316694,784.0
Trenton,40.2237,-74.7641,316436,4232.8
Santa Rosa,38.4458,-122.7067,314196,1619.6
Santa Ana,33.7367,-117.8819,313818,4690.9
Lansing,42.7142,-84.5601,312829,1158.9
Henderson,36.0133,-115.0381,311250,1124.7
St. Paul,44.9478,-93.1039,309751,2272.3
Lakeland,28.0557,-81.9545,308994,642.7
Newark,40.7245,-74.1725,306247,4508.4
Fort Collins,40.5477,-105.0656,301596,1120.5
Reading,40.34,-75.9267,299068,3465.0
Springfield,37.1943,-93.2916,298722,784.1
Irvine,33.6772,-117.7738,297868,1604.7
Anchorage,61.1508,-149.1091,292545,66.1
The Woodlands,30.1738,-95.5134,292380,1021.9
South Bend,41.6767,-86.2696,290915,944.5
Rockford,42.2596,-89.064,289763,877.0
Savannah,32.0286,-81.1821,289607,517.7
Lincoln,40.8099,-96.6784,289136,1131.9
Jersey City,40.7184,-74.0686,287146,6878.3
Round Lake Beach,42.3791,-88.0811,287012,2090.5
Flint,43.0236,-83.6921,286324,1108.4
Shreveport,32.4653,-93.7955,286200,678.0
Plano,33.0502,-96.7486,282181,1555.8
Myrtle Beach,33.7094,-78.8844,281180,551.9
Davenport,41.5565,-90.6053,280282,618.5
Canton,40.8078,-81.3676,277741,1038.8
Santa Clarita,34.4175,-118.4964,275230,1159.7
Chula Vista,32.6281,-117.0144,274818,2090.7
Eugene,44.0564,-123.1174,273904,1489.3
Chandler,33.2825,-111.8514,272439,1515.9
Salem,44.9233,-123.0244,268634,1358.7
Concord,35.3933,-80.6369,264492,571.0
Gilbert,33.31,-111.7463,262249,1398.0
Columbus,32.51,-84.8771,262061,348.5
Aguadilla,18.4382,-67.1537,260331,1681.1
Lubbock,33.5657,-101.8879,259946,736.6
North Las Vegas,36.2883,-115.0888,259638,933.1
St. Petersburg,27.7931,-82.6652,258245,1647.5
Tallahassee,30.4551,-84.2527,257648,731.2
Laredo,27.5625,-99.4874,256748,941.8
Peoria,40.752,-89.6154,255718,906.6
Avondale,33.3873,-112.3235,254537,698.1
Lafayette,30.2082,-92.0325,254286,874.7
Irving,32.8583,-96.9702,254184,1386.2
Montgomery,32.3482,-86.2668,253711,480.8
Visalia,36.3276,-119.3269,249804,1352.8
McKinney,33.2016,-96.667,248840,1102.4
Wilmington,34.2099,-77.8866,247372,917.6
Chesapeake,36.6778,-76.3023,247172,276.8
Glendale,33.5791,-112.2311,245685,1494.0
Garland,32.91,-96.6304,245075,1613.1
Kennewick,46.1978,-119.1732,241230,1144.9
Winter Haven,28.0118,-81.7014,240768,504.8
Scottsdale,33.6872,-111.8651,238685,535.1
Norfolk,36.8945,-76.259,238556,1770.5
Killeen,31.0753,-97.7297,238288,1046.1
York,39.9651,-76.7315,236818,3211.3
Atlantic City,39.3797,-74.4527,236314,1356.1
Nashua,42.7491,-71.491,235982,1115.1
Arlington,38.8786,-77.1011,235764,3511.4
Brownsville,25.9975,-97.458,235735,534.4
Fremont,37.5265,-121.9843,231502,1160.9
Gulfport,30.4274,-89.0704,231423,497.4
Evansville,37.9881,-87.5341,226788,965.5
Hialeah,25.8696,-80.3045,224362,4184.1
Navarre,30.4174,-86.8907,223951,625.9
Bel Air South,39.5022,-76.3113,222834,998.6
North Port,27.0576,-82.1977,221616,267.2
San Bernardino,34.1416,-117.2943,220821,1347.0
Portland,43.6773,-70.2715,220807,1195.5
Enterprise,36.0091,-115.2278,219566,1255.4
Bremerton,47.5436,-122.7121,219538,560.3
Green Bay,44.5148,-87.9895,219472,887.2
Appleton,44.278,-88.3892,218448,1150.9
Spring Valley,36.0952,-115.2636,217441,2378.2
Tacoma,47.2431,-122.4531,217332,1675.7
Spartanburg,34.9442,-81.9251,216021,713.9
Roanoke,37.2785,-79.9581,215781,900.1
Gainesville,29.6804,-82.3459,213287,814.2
Deltona,28.905,-81.2137,212616,950.1
Kalamazoo,42.2749,-85.5882,212033,1190.0
Thousand Oaks,34.1914,-118.8756,211045,891.9
Hickory,35.741,-81.3223,211042,515.4
Yonkers,40.9466,-73.8673,209730,4292.6
Moreno Valley,33.9244,-117.2045,208371,1570.3
Fontana,34.0968,-117.4599,208087,1906.8
College Station,30.5852,-96.2959,207514,874.0
Fargo,46.8651,-96.8292,207310,949.4
Amarillo,35.1984,-101.8316,204357,748.0
Norwich,41.5495,-72.0882,201726,538.1
Olympia,47.0417,-122.8959,200836,1108.0
Waterbury,41.5582,-73.0361,199552,1460.0
Salinas,36.6883,-121.6317,199290,2564.3
Huntington,38.4109,-82.4345,199133,1098.3
Huntington Beach,33.696,-118.0018,198735,2857.1
Clarksville,36.5692,-87.3413,198689,605.6
Santa Barbara,34.4285,-119.7202,198240,1799.4
Glendale,34.1819,-118.2468,196512,2525.4
Sunrise Manor,36.1783,-115.0487,196411,2269.8
Grand Prairie,32.6871,-97.0208,195992,1032.1
Overland Park,38.887,-94.687,195249,993.3
Hagerstown,39.6401,-77.7217,194602,1229.4
Nampa,43.5844,-116.5638,194547,1090.5
Gastonia,35.2494,-81.1854,194190,572.0
Frisco,33.156,-96.8216,193140,1059.7
Cedar Rapids,41.9662,-91.6783,192714,712.9
Hemet,33.7341,-116.9969,191170,1116.6
Paradise,36.0872,-115.1355,189852,1758.7
Sioux Falls,43.5396,-96.7311,189258,879.9
Vancouver,45.6366,-122.5967,188331,1447.8
Peoria,33.7843,-112.2989,187733,377.4
Waco,31.5599,-97.1882,187172,599.5
Lorain,41.4409,-82.184,186500,1044.0
Erie,42.1167,-80.0733,186489,1948.6
Newport News,37.1051,-76.5185,185069,1005.1
Aurora,41.7638,-88.2902,183447,1711.4
Fort Lauderdale,26.1412,-80.1464,182247,2029.7
Vallejo,38.1125,-122.2342,181882,1539.3
Murfreesboro,35.849,-86.4121,181450,863.0
Spring Hill,28.4798,-82.53,179668,732.9
Tempe,33.3881,-111.9319,178862,1852.3
High Point,35.991,-79.9937,178800,768.9
Medford,42.3372,-122.854,178457,1224.5
Danbury,41.4015,-73.4709,177722,777.6
Elk Grove,38.4161,-121.3842,175510,1594.1
Ontario,34.0393,-117.6064,175223,1376.8
Frederick,39.4337,-77.4141,175032,1158.3
Vero Beach South,27.6132,-80.4163,174748,939.5
Ocala,29.178,-82.1511,174618,490.4
Oceanside,33.2247,-117.3083,174461,1643.7
Rancho Cucamonga,34.1247,-117.5667,173946,1478.4
Garden Grove,33.7787,-117.9601,172708,3714.5
Cary,35.7819,-78.8195,171603,1101.0
Pembroke Pines,26.0128,-80.3382,170346,2031.8
Bayamón,18.3794,-66.1635,170028,2245.3
Palmdale,34.5944,-118.1057,167987,557.8
Manchester,42.9848,-71.4447,167568,1312.6
Lafayette,40.3991,-86.8593,166793,953.6
Santa Cruz,36.9789,-122.0346,165933,1970.2
Marysville,48.0809,-122.1561,164655,1295.4
Muskegon,43.2281,-86.2562,164136,1018.7
Springfield,39.7709,-89.654,162588,726.0
Hayward,37.6328,-122.0766,162254,1338.3
New Bedford,41.6697,-70.9428,158353,1840.8
Alexandria,38.8185,-77.0861,158185,4092.5
Paterson,40.9147,-74.1624,157927,6676.6
Corona,33.8616,-117.5649,157844,1625.1
Merced,37.3057,-120.4779,157617,1396.0
Warner Robins,32.5961,-83.6527,157416,786.6
Port Arthur,29.8554,-93.9264,156988,278.2
Macon,32.8065,-83.6974,156711,236.9
Kansas City,39.1235,-94.7443,155745,473.6
Lakewood,39.6977,-105.1172,155608,1383.1
Sunnyvale,37.3836,-122.0255,155550,2670.3
Fredericksburg,38.2992,-77.4872,155414,1073.6
Leesburg,28.7672,-81.8962,154301,232.4
Champaign,40.1142,-88.2737,153278,1482.7
Hollywood,26.0293,-80.1679,152597,2179.6
Pasadena,29.6575,-95.1498,151964,1348.4
Pomona,34.0585,-117.7626,151592,2538.6
Escondido,33.1348,-117.0723,151443,1554.9
Joliet,41.5188,-88.1499,150323,874.0
Lake Charles,30.201,-93.2111,150036,657.2
Mesquite,32.7602,-96.5865,149848,1120.3
Mauldin,34.7821,-82.3032,149687,826.4
Panama City,30.1995,-85.6003,149366,395.2
Bellevue,47.5951,-122.1535,149365,1686.3
Naperville,41.748,-88.1659,149013,1459.0
Harlingen,26.1916,-97.6977,148545,625.7
Tuscaloosa,33.2348,-87.5268,148523,627.3
Elkhart,41.6916,-85.9627,147679,739.1
Torrance,33.8346,-118.3416,147156,2717.9
Binghamton,42.1014,-75.9093,146870,1651.3
Houma,29.58,-90.7059,146665,882.1
Topeka,39.0346,-95.6955,146473,788.4
Roseville,38.7703,-121.3196,145687,1216.3
Fairfield,38.2583,-122.0335,145163,1081.9
Tyler,32.3184,-95.3062,143895,711.4
Fullerton,33.8841,-117.9279,142964,2429.3
Pueblo,38.2701,-104.6114,142727,768.2
Athens,33.9508,-83.3689,142277,414.8
Santa Maria,34.9333,-120.4431,142230,1786.2
Surprise,33.6815,-112.4515,141875,486.6
Charleston,38.3484,-81.6322,141640,579.4
Las Cruces,32.3265,-106.7893,141399,516.7
Metairie,29.9977,-90.178,140590,2299.3
Thornton,39.9197,-104.9438,140538,1550.7
Olathe,38.8833,-94.82,140339,866.8
Carolina,18.4054,-65.9792,139735,2502.3
Gainesville,34.2902,-83.8294,139507,479.0
West Valley City,40.6886,-112.0123,139361,1461.5
Orange,33.8038,-117.8218,139195,2095.7
Warren,42.4934,-83.027,138996,1507.1
Pasadena,34.1597,-118.139,138771,2388.0
Beaumont,30.0849,-94.1451,137549,549.3
Burlington,36.076,-79.4685,137096,696.3
Hampton,37.0551,-76.363,136748,1014.2
Columbia,38.9472,-92.3268,136736,711.5
Yuma,32.5995,-114.5491,135933,311.5
Elizabeth,40.6658,-74.1913,135772,4027.0
Racine,42.7274,-87.8135,135352,1918.5
Greeley,40.4152,-104.7706,135270,847.8
Kent,47.3887,-122.2128,134890,1484.0
Stamford,41.1039,-73.5585,134820,1334.9
Odessa,31.8801,-102.3448,134793,920.0
Bloomington,40.4757,-88.9703,134357,1106.6
Miramar,25.9773,-80.3351,134306,1879.8
Grand Junction,39.0877,-108.5673,134074,594.6
Sterling Heights,42.5809,-83.0305,134062,1401.5
Coral Springs,26.2702,-80.2591,133693,2252.2
