ID,city,state,Ave_Price_2000,Ave_Price_2001,Ave_Price_2002,Ave_Price_2003,Ave_Price_2004,Ave_Price_2005,Ave_Price_2006,Ave_Price_2007,Ave_Price_2008,Ave_Price_2009,Ave_Price_2010,Ave_Price_2011,Ave_Price_2012,Ave_Price_2013,Ave_Price_2014,Ave_Price_2015,Ave_Price_2016,Ave_Price_2017,Ave_Price_2018,Ave_Price_2019,Ave_Price_2020,Ave_Price_2021,Ave_Price_2022,Ave_Price_2023,Total_Ave_Price
6181,New York,NY,246019.98069725887,278408.7787996198,302725.6542480973,336616.00037485495,378900.4935585237,436514.4076985553,502019.6134895146,506643.4855880211,494304.2847040133,451516.6052774643,437841.17164878297,437811.18151482235,441547.3500431433,461386.8437381699,497468.84224871366,531383.0301782474,574357.2343369119,621697.0660863043,669250.4543055265,694857.7492655442,702979.8358281115,727060.2273010291,769957.5207432125,739600.3702711724,510036.17424773396
12447,Los Angeles,CA,229986.96358559266,253372.55099904898,287390.38139898406,342003.58430588985,425282.6304404159,510823.96895911224,590413.0967945269,586332.5879141992,495074.12934135087,405757.97157023934,399239.82041598717,375392.4216386385,365778.5812138198,427116.72253153234,485391.8400714884,513805.1287192485,534704.827046302,582018.9253346407,659425.4898735887,687676.7840098118,730268.6686000302,834153.1658636956,928229.446391648,898829.6236164456,522852.8879431766
39051,Houston,TX,101601.65321386728,103607.47292096356,106747.07713656516,110350.50197605502,116715.53100140346,122166.78818609192,124250.87072096439,127632.1968353202,125895.5904103556,121499.89649936288,120326.9428639742,114381.11218614627,112813.51542903192,119824.67847894486,135469.127726021,151680.00717762063,162753.0949650406,170737.28058658366,179059.23160070705,188491.1009805921,196896.16145363878,221789.68041501148,258327.3999327746,263100.676638853,148171.56622232872
17426,Chicago,IL,148491.301242105,165693.52189786875,182128.6157871443,198948.09970643872,219230.98760375116,242676.31240130772,267601.544001009,272355.4580061946,256723.41664653458,219908.4570053004,200190.25447828995,179187.29581065467,164738.3187412092,176085.02788169903,199930.5790606405,212535.74325815562,225239.87455308158,236222.5999911093,247620.8962196229,249870.3490493087,257236.74890757876,278134.80837722105,289146.84594627045,283806.1659532083,223904.30093857102
6915,San Antonio,TX,97249.51693245262,95678.81912327325,96560.73956374692,99481.88170701977,106590.23688609553,112472.10302871636,118137.87037116881,126586.45805009223,128614.55474621967,123616.17441843647,122301.73388480407,117974.98541263433,118266.11870430775,123511.17550427357,132545.7836937079,143665.3527976321,155435.59067246303,166731.06374513,177616.84868485635,185617.60959226722,196493.40233994924,223877.34865257426,261000.06407767863,263495.928294497,145563.3900368332
13271,Philadelphia,PA,64295.64409222869,68273.21200560266,72595.88183379044,79994.26362014048,90717.62840066128,107335.64687080542,126522.98581024818,133426.0654681174,132314.1452593239,126445.28129133245,126164.86933601694,118802.72461439868,114650.52581814224,114451.10991599853,117992.20953076502,123382.9483830105,132994.2783686148,147517.87860616957,162353.92215231096,176554.99836568465,192430.11607825034,211969.08088757916,222975.3007513535,218586.88169478718,132614.48329813886
18959,Las Vegas,NV,154696.78140032486,163851.8260268119,174067.52142637884,187914.81041001334,237323.17436044532,300609.11191387736,327169.238814883,313828.81933530763,240881.57045939905,163371.95558115203,136457.14600441416,123597.0912536785,121719.3204797984,153641.06412819927,182280.07917432018,195722.3617774871,209602.43723833686,230956.08119093336,266850.7116603055,286860.54162382014,295583.1980654817,341046.1296693903,416888.04023317323,398176.3414128554,234295.63973503283
54296,San Diego,CA,236028.83240393127,277908.8986091887,317462.98058634263,379636.6216503423,464456.8816664243,538344.4720909485,547309.016767585,508993.99360981374,441683.4598171581,390116.4361114259,400938.89961334295,377846.85311184084,375877.93121724256,437523.8743182691,483812.6753999805,512883.4364782323,547299.875822286,587155.8796904964,629627.5687057824,641383.8543321667,675082.1465526934,787086.4806832835,932535.7003801474,919569.6595291297,517106.93454783555
38128,Dallas,TX,95009.62056149659,97876.72905488935,100370.04495406651,103830.8979577361,110335.15122538003,114571.2875289528,116660.24130388709,118341.43936908734,114991.72907767736,109309.65871942784,106701.19614130432,100114.13468334626,100279.27682555362,109933.72018342622,122434.49410731248,137197.88441314144,160001.21034640947,181961.19162002185,202993.3671328399,213731.4209583232,225024.065828665,257070.02711659577,302920.64039746294,307422.0356133911,150378.39438001646
10221,Austin,TX,192576.9392027638,198723.48765050143,198032.21912927457,197408.06368679108,200885.785125513,206845.2521570926,213406.37453579972,223291.0275897102,228425.08927209294,219979.37610472986,217744.8256136385,211805.22179887607,217752.72988580237,243474.3418352422,274537.6403583094,305003.7779972003,328296.47985338373,344252.88926455233,357257.4719810109,371088.3410427663,404346.49934865907,521330.77758277435,616205.8167984858,563145.4820102954,293992.3295760528
33839,San Jose,CA,361608.530738547,438847.96595461,438509.9367876772,451382.2591586329,495431.50417211204,581933.5329955864,635287.3950455413,636556.3906325769,554483.8748683227,452212.2837193559,456814.4045385869,429048.5198915759,451184.5082452467,561614.8757203814,636253.7997446293,719242.0595965246,771195.6522763799,801470.0721471977,991127.5964680804,998582.1576623027,1017055.1859239781,1169466.4814897045,1350708.4882611407,1272697.3652272937,694696.451719416
25290,Jacksonville,FL,95487.24031376441,102026.83244120359,110106.64696190141,119486.01431009056,132261.1911003966,150272.70458645307,177773.4510801319,182665.19498157082,168097.53849599735,145734.27552826275,130531.71639031205,111641.57961726567,104278.92999770194,113830.9438849957,126599.62310218328,134107.82576828456,147102.19351626004,161943.87131881362,177425.31950949458,190120.25705525608,201648.23657464024,235295.528880852,291677.1693725298,296677.97812281165,158616.34428796553
24043,Charlotte,NC,149084.84742231155,153600.9610043109,155696.74855518248,156446.52247403053,158212.8755770088,161027.4309697304,167580.76272504558,176123.26404250273,177141.1880738464,164884.6685917255,156823.0692425374,143580.69227502032,140802.44914647198,151113.14281979259,164287.3023349639,174763.75931564145,191364.38833964663,210618.33524438765,230675.8492619693,245018.9372919216,262867.1820072699,314802.3166735727,381860.82382383634,382121.44189411117,198770.78996278494
18172,Fort Worth,TX,102768.09804566165,103475.79543590151,105901.89039123185,110089.69310099019,117578.8005393449,122816.54983378925,125838.90581912542,128280.56424892,123756.48505432352,119332.96717910028,118402.75220582674,112602.92352951516,112335.05521094549,119829.30608889599,130129.0517194459,142841.01747434924,159381.9593290801,177734.35643196327,196167.342569556,206730.0264779385,218184.07207117576,254862.56506275595,312006.2268898834,309145.226227622,155424.6512890559
13121,Orlando,FL,111037.89993677959,120228.07528630058,130220.02044553765,141444.40533301103,157474.76211003665,190066.63852470767,244052.8058626524,244378.97892534398,200614.61134037608,147586.6215508863,127824.6943514441,114475.17403664185,116055.41349704207,135719.35724609735,158019.8599370405,170754.03191029505,187552.20257202315,206145.6492578156,226271.6784500744,240946.03318506674,254537.6449286395,288350.8657078157,353685.79336330685,367468.823052714,193121.33503381864
20330,San Francisco,CA,446936.59003897174,531464.6066027631,541950.4807213544,582091.5836000995,655044.516695347,754582.5897792187,794864.3252157597,803737.2581268009,767805.4448819294,688028.0782465391,672932.3477907644,631645.05999288,665965.8512830252,803233.0268316135,923641.0117222605,1081227.9394301388,1157188.9243649335,1191394.622572447,1303482.26732056,1305885.0325198106,1346624.5389025342,1389425.3823932332,1439989.936799409,1279525.2204154232,906611.1098436592
7481,Tucson,AZ,113830.87431848538,119748.48630230594,127558.82449423503,137496.40481366622,151020.92549078274,183169.84327896754,218486.17250398398,216525.29084552624,193440.17031159115,168003.8663029829,152916.2487734253,133930.84041762995,132472.69796486758,148993.2506111289,158644.43411098493,163645.05560676169,171119.61711765375,184937.95389115266,195416.16285627396,209930.92961829258,227875.35858507743,275160.6038236395,322864.3489453168,320353.4432888596,184480.90851139964
10920,Columbus,OH,97830.89319145354,101913.20638303983,106111.909223307,110939.81857503107,114827.14666345752,118565.47585315007,121057.41941469576,119659.78255769308,115938.22756229964,110094.80510609625,106799.41969184375,98441.89432793962,92326.38132787308,94896.13102814216,102454.60174699112,109303.16289078553,119360.4506850263,131551.48155996783,144508.8608250994,157372.68237677205,173282.77102632986,200722.80065891627,227770.65392921004,234476.33767268172,129591.92976157511
12700,Miami,FL,137764.02636893737,150993.4996371014,173076.83051439104,203515.62023695375,240154.60921454732,296672.368673843,370628.0899218563,385356.07891566656,317585.81554699334,229815.037345989,200304.84436734754,184377.25073089893,191727.99031258348,230694.8696991585,266915.2818872599,298058.3452517005,320745.5522372069,332598.5876150182,344660.37736028875,354995.19949784345,370639.45306532923,412884.30817751406,508166.19407997926,547405.3946979572,294572.31772318186
12455,Louisville,KY,105318.65364749944,113255.29488797193,118485.03338851164,122011.53961637408,123134.83588516817,127364.37024705876,132751.51024317267,134391.68690880437,132909.51742341384,131793.6253856596,131278.92008198544,125650.9082538854,124221.66951063508,128505.3915627357,134174.30300031617,138879.03088803534,145360.81001606325,154445.07794358704,162600.06008334496,175445.89638644469,185814.1552206326,205421.36177899307,222021.96524724562,229351.5324905693,146024.46458742116
17933,El Paso,TX,95824.53448942192,92788.5397207098,92398.48124322866,95301.25646943599,103058.0307770392,110837.25949232695,123544.66343358466,137806.9314562112,137429.22638397833,132261.61520306577,132261.76995518178,129363.76609155693,126372.86168468233,125495.64756400125,125431.72954423244,127317.3029836226,130024.10533919455,134442.65078894838,136651.65716694438,139902.18939957846,148134.49689427452,168573.87984365376,194990.2027036939,208954.94943582237,131215.32283601622
11093,Denver,CO,187238.67510047703,214505.2399725576,228922.26652468028,231628.65087154557,235981.51870596895,241320.2603259694,246029.66986878126,244514.7906128311,231515.31046035953,223362.17574006424,225023.5649098097,215201.83922072066,221029.817965146,248100.83607341067,274544.3714006773,316764.92888801725,354549.7513795107,384725.326642432,412977.22439889936,430154.910219674,452050.89894647157,509873.64713286416,575330.9093396633,560704.0648810795,311085.4437325672
16037,Seattle,WA,271996.362159124,293396.38911672117,306723.07120552234,323155.5378031921,352696.39483812934,397635.53347179113,462418.3057455837,496667.0938218112,475996.4311439803,423410.4407371786,406757.38351421006,377976.9818144166,360999.25987247034,401320.91496078164,437677.90792067745,491820.267354033,569895.7697270695,645395.1641151392,729655.6260854766,707853.4915908668,729324.3217671566,800360.7162680854,884620.276072496,836027.634864695,507657.553165442
13373,Portland,OR,170177.40386414347,176870.76136300797,187353.59207423392,200315.68801692026,214456.91770965894,240044.2782363585,286291.733871734,309189.5685723391,305579.69084796164,281838.9509922484,270499.9389767748,250002.2387558378,250564.52706136636,280550.9742839089,309518.9747728864,346702.8820933861,405429.01248008985,437712.2530779766,445628.4826668084,444690.530786992,462418.9987288791,523177.5111053253,561096.5934437483,529822.7042494578,328747.2586680018
6118,Nashville,TN,136506.76386558716,140669.4308108405,144453.286198355,147596.74402049388,152365.57943441227,160150.12281803417,172506.80506699812,180479.02035305882,179148.3035372767,170971.38829001386,166161.05212897714,157677.46129756956,156724.34167966174,166160.01374145813,180133.6186981024,199907.5566487713,228464.56345913466,256119.22707625493,280090.00864035584,288266.31052438077,304332.06331103604,348096.45300323854,425258.38770545786,428742.2245313247,215457.53028503308
41568,Washington,DC,168029.30818489453,183401.50361299457,210695.85514749322,247112.97130351336,290079.7020295403,345370.7268038307,391178.04775838205,391917.95826481096,383218.8988168901,363804.6110174935,363202.93680546276,360867.5702910759,367285.3653017126,410310.7496620826,453385.108279692,480044.9498613248,505417.4967599206,526481.375285675,554467.5787808219,570078.9676473327,594251.0236279755,628859.9142683821,640895.3172627381,617598.9205380732,418664.8690546714
20288,Sacramento,CA,126971.08705115116,150663.86475009492,176630.44517071094,212732.7612599145,257728.38341789015,315174.70817297365,342269.51591856644,304520.69471996394,231180.66032578974,177365.3831533139,165834.6444266079,150713.58385255304,146672.26608968186,187700.56867240914,224125.6468014466,245554.04174757915,278213.7613328738,306708.62010242936,333507.3563883899,345904.8206377355,369854.20383327664,438292.72967325064,494387.29930233274,466263.93150537607,268707.1240960963
44269,Boston,MA,219778.90040527712,258856.2023992214,294676.92466780083,331390.3246228493,360317.7284167142,391593.23534578254,393071.5068601773,380389.9975965785,363951.77025868534,344711.40775811096,348097.5331580309,343121.69713467016,357633.2695488329,401336.22769275,448902.08894877526,493529.5198130901,536543.3347520712,583044.7182421567,625768.6384320125,640647.1491298646,658521.6591163281,700046.7181217391,732693.6118358686,717479.9611494987,455254.3385586203
17762,Detroit,MI,49018.295462071146,57649.563052209174,60953.747141030035,65521.17303717098,70343.21717098086,73673.52976186953,77785.37170403742,76781.00046493908,60586.34879232104,31601.84394569365,22424.085933024315,19148.7450846111,17415.069504943694,19230.581575756998,22026.719562320857,25285.82606300928,28992.504865353258,30902.408729035913,36661.35853084135,43326.14639619766,47444.082621881105,61447.088075208776,69656.0114438838,65501.80188223763,47224.0217000262
26529,Pittsburgh,PA,78973.97539306465,82281.3640442371,86755.66371704766,90889.55404904882,93538.50478360635,96327.06338698021,100044.78249813143,103016.53221364859,106913.20004016809,105641.47866897252,111729.29271889672,109342.06746633952,109527.18218942388,114336.0870220622,120695.42021765119,129405.45395717357,140524.25280270918,151618.82817835925,165996.3651853676,175395.2941122336,186228.82153600032,212399.14547581924,224614.0973087173,223652.5116718859,129993.622443231
32811,Memphis,TN,79902.71292672043,82134.03324642795,83562.40059385233,85034.37859476506,86303.41679674324,89142.00527396529,92704.78210098443,93485.3102595721,83623.10129889373,72346.61812355855,66321.44310052677,60224.55688519057,59612.714419232005,59826.2265914269,67247.51799803691,70065.92387802713,72880.11108211921,79409.03968012995,88497.64621346485,97324.65734940833,107142.39466237919,128391.64683479065,150154.11327987857,150845.4123704204,87757.59014835478
18203,Fresno,CA,102456.03014992714,109101.12642893622,124070.09391106076,152631.8186881375,192444.9905800333,241121.6112732828,283415.9854911153,270599.35941397696,216341.26428974734,160466.8411744144,152041.22709811034,134462.9178378735,134334.07431325203,156434.74106884713,177978.18582788916,188835.02971981824,202888.78500428272,219717.103830178,242194.2810714352,256448.2845884024,270179.50705602654,315482.5749038068,363928.10990541783,360312.92469069187,209495.28617986097
3523,Baltimore,MD,64095.459310424194,65984.87247051,68698.70079665714,73114.11241777177,79772.19143872058,93379.58337802724,116007.27838024091,129516.18681036097,131508.67885286635,119669.80815492324,110139.15361574113,92917.37292183806,87994.52773011655,98266.86613286496,106647.61455265591,107412.7664701887,110443.61586851532,116350.64019927809,126574.03408093046,137306.2971107566,144386.01939783964,164441.75043231327,178128.02912918877,177433.650381259,112507.88375141623
40152,Omaha,NE,115459.0383959678,118392.19735816521,122064.35664579521,127629.72479664034,134721.3824557936,139370.53584645022,145138.47765279844,146939.49695172822,139972.58434052998,136783.59671612235,139848.21275727986,132031.1060425903,130790.83453489463,135408.86359590117,139617.33266336433,146137.67687703227,154687.93260089355,164357.6632696387,176426.38453363837,186731.14861331656,201797.57916795564,230043.57165685613,255618.52944854146,268026.5334843536,157833.11501692695
37211,Atlanta,GA,156995.27097539284,173037.7755310768,182124.99332839993,186872.75097474697,192767.61647840057,202474.13636709342,210143.91119835366,213839.11481543313,197917.5507195203,167527.80452639994,151167.2497017001,134529.78549606443,129710.57045575966,147315.39085182245,172249.63826475132,195017.2099602834,220606.24252554853,245629.6756933652,275199.8024386107,294799.8880938949,305466.78898129443,339240.8191598409,379947.3907512089,378572.68669720565,218881.419332757
5976,Milwaukee,WI,69746.72555385424,75077.36198671648,80586.35670846941,88044.07258141843,98080.12067388782,109397.72742478078,118977.12244940666,120872.88429598835,114852.6707646522,101754.549963474,95615.59497868332,81689.04266138456,77174.59892465612,79690.5966067956,85843.70423005494,90866.86994151806,97141.74627822563,105229.69820532647,114660.60030567615,126781.28052664195,138872.20835874174,164130.52572313114,178891.61740910998,189101.16799715342,108461.61852290617
33225,Oklahoma City,OK,77686.11112939545,81081.69675143166,84303.67379051799,88058.0320330382,92781.38705147261,97662.18232916541,103261.21256658592,106409.97887455253,106383.14990605762,105235.46563047105,106133.08944447378,102850.11467846605,101166.26691477506,103725.42739474981,109000.90745653903,114484.79885781925,118209.72230037663,122273.63548721427,129779.37207584195,135858.89141910596,145456.90377584277,163397.13912493343,186497.93161292028,195838.49428437243,115730.64937042166
54047,Raleigh,NC,174157.7967437795,179141.88827546153,182053.43261510192,184633.2358344669,188848.76127537573,195509.1394426903,207560.76217670564,219791.0025751424,220394.43601641574,212659.24106692683,208834.7349374053,198804.8082644307,193768.70439484995,200969.85980414142,211422.03353959194,223182.87007140022,239923.26585624108,255500.0142665899,270042.6076002999,285017.0608409437,300896.4651105125,349444.53585846024,426652.31000054977,427473.4296396715,239861.76650863144
19331,Mesa,AZ,136110.7897319589,142877.09655941455,149131.12374521862,156051.44645441894,167788.38395910244,211404.51241763445,269664.1719696599,257664.75158544103,212002.23782349934,158783.6031185628,142751.7667690747,125049.70364826015,136280.61546699365,169514.97571767864,189136.03505975727,199879.28085371343,218487.95085350928,234137.072497846,253008.99257210828,271897.2602078227,303175.8649702531,372678.8512355781,447246.70581055054,426498.50973834726,222967.57094860016
4172,Colorado Springs,CO,161698.58452078878,175202.67758442936,185179.0846042922,190874.55380533225,196798.41505719826,206043.81060150868,216130.77944421288,220557.34475678345,213870.49372903618,205297.62142499976,206560.4976323249,196963.54684182958,197202.958003737,207129.7314381846,215119.69060126095,227728.41994375017,246650.29114413078,269392.29881610366,296129.4311610463,316978.09529499797,343301.75826609676,402786.5601044846,458965.18290684576,445221.86481312144,250074.32052068735
17222,Buffalo,NY,76127.48861468893,75909.67833053756,72773.23208318175,64469.23243728027,63889.71782252922,62329.5037272377,69943.661533258,75440.31140314418,73670.98159342607,72979.09999111285,74646.85715667167,72718.22663948654,74947.2603487873,78560.08167819475,83256.42393670253,89883.40746377937,97701.38003757386,108703.34076241608,124520.54001036641,139798.39774408928,152869.68612235723,181519.40134257995,204144.5315596773,211928.1684322381,100113.77544880485
18795,Kansas City,MO,86343.85244462773,92891.67219765473,99589.00278653408,105375.23413510948,110259.09042767424,113539.8640063515,116981.74331230379,119345.99128807035,116051.93414410541,107519.63747447457,104598.78425710813,94687.64682282461,90960.38255074754,94277.2798872897,102098.4941752216,110605.36275570853,121458.24657253893,134542.8731566256,147361.5915767274,156603.0690701769,167938.29511498954,195055.9027887699,217807.4526190199,225188.85697175894,126295.0941890172
4099,Cincinnati,OH,112168.34307040327,118422.81796341878,123468.42268272319,129390.56436566862,134377.02529905314,137803.85151943215,140950.06992240876,140071.60000803194,134476.80328683453,124029.07536936336,126240.53987781564,117087.41345516346,111496.39150417963,113124.6242428174,118417.19442425312,125240.39815804664,134141.10146028287,144402.0956732067,154992.21955410615,167383.14163970182,179068.5781140294,206857.0188275083,225628.13469128613,231755.74992821916,143791.3822932481
